station_name,borough,entrance,lines,latitude,longitude
Jamaica Center - Parsons/Archer,Queens,155-01 Archer Avenue,"E,J,Z",40.702391,-73.8008265
Sutphin Blvd - Archer Av - JFK Airport,Queens,93-25 Sutphin Blvd,"E,J,Z",40.70546,-73.810708
Jamaica - Van Wyck,Queens,134-36 Jamaica Ave,E,40.7023232,-73.8169507
Briarwood - Van Wyck Blvd,Queens,Van Wyck Expressway,"E,F",40.7288508,-73.833438
Kew Gardens - Union Tpke,Queens,Union Turnpike,"E,F",40.7337742,-73.7580105
75 Av,Queens,111-16 Queens Blvd,"E,F",40.743042,-73.9161542
Forest Hills - 71 Av,Queens,107-48 Queens Blvd,"E,F,M,R",40.72128145,-73.84471342325449
67 Av,Queens,101-02 Queens Blvd,"E,M,R",40.7262803,-73.8527601
63 Dr - Rego Park,Queens,96-22 Queens Blvd,"E,M,R",40.7295739,-73.861816
Woodhaven Blvd,Queens,Horace Harding Expressway,"E,M,R",40.7386037,-73.7964277
Grand Av - Newtown,Queens,86-57 Broadway,"E,M,R",40.7372828,-73.877193
Elmhurst Av,Queens,82-23 Broadway,"E,M,R",40.742737,-73.8822399
Jackson Hts - Roosevelt Av - 74 St,Queens,74-02 Roosevelt Avenue,"E,F,M,R,7",40.749376,-73.867514
65 St,Queens,64-01 Broadway,"E,M,R",40.749908399999995,-73.89844137947821
Northern Blvd,Queens,55-02 Broadway,"E,M,R",40.7526401,-73.9058416
46 St,Queens,47-07 Broadway,"E,M,R",40.7563565,-73.9131455
Steinway St,Queens,32-84 Steinway Street,"E,M,R",40.7569454,-73.9208434
36 St,Queens,35-01 Northern Blvd,"E,M,R",40.7626853,-73.8343068
Queens Plaza,Queens,Jackson Avenue,"E,M,R",40.7424879,-73.9527805
Court Sq - 23 St,Queens,45-01 23 St,"E,G,M,7",40.7467653,-73.94512388972869
Lexington Av/53 St,Manhattan,201 East 53rd St,"4,6,6X,E,M",40.7576928,-73.968965
5 Av/53 St,Manhattan,1 E 53 St,"E,M",40.78741985,-73.92752590034398
7 Av,Manhattan,811 7th Avenue,"B,D,E",40.7627309,-73.9816563
50 St,Manhattan,832 8 Ave,"A,C,E",40.7398753,-74.0027381
42 St - Port Authority Bus Terminal,Manhattan,661 8 Ave,"A,C,E",40.7398753,-74.0027381
34 St - Penn Station,Manhattan,480 8th Avenue,"A,C,E",40.7641596,-73.9847413
23 St,Manhattan,West 24th Street,"A,C,E",40.7497094,-74.0069476
14 St - 8 Avenue,Manhattan,81 8th Avenue,"A,C,E,L",40.7399977,-74.0025703
W 4 St,Manhattan,West 4th Street,"A,B,C,D,E,F,M",40.7355308,-74.0033399
Spring St,Manhattan,188 Ave Of The Americas,"A,C,E",40.72620285,-74.00337636959794
Canal St,Manhattan,1 Lispenard Street,"A,C,E",40.72064,-74.00497
World Trade Center,Manhattan,79 Church St,"1,2,3,A,C,E,N,Q,R",40.7124205,-74.0096888
